ID,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
20.00,Jet Airways,27/05/2019,Delhi,Cochin,DEL _ BOM _ COK,16:00,12:35 28 May,20h 35m,1 stop,In-flight meal not included,12898.00
21.00,GoAir,6/03/2019,Delhi,Cochin,DEL _ BOM _ COK,14:10,19:20,5h 10m,1 stop,No info,19495.00
22.00,Air India,21/03/2019,Banglore,New Delhi,BLR _ COK _ DEL,22:00,13:20 19 Mar,15h 20m,1 stop,No info,6955.00
23.00,IndiGo,3/04/2019,Banglore,Delhi,BLR _ DEL,04:00,06:50,2h 50m,non-stop,No info,3943.00
24.00,IndiGo,1/05/2019,Banglore,Delhi,BLR _ DEL,18:55,21:50,2h 55m,non-stop,No info,4823.00
25.00,Jet Airways,6/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,18:55,08:15 07 May,13h 20m,1 stop,In-flight meal not included,7757.00
26.00,Jet Airways,9/06/2019,Delhi,Cochin,DEL _ IDR _ BOM _ COK,21:25,12:35 10 Jun,15h 10m,2 stops,No info,13292.00
27.00,IndiGo,1/06/2019,Delhi,Cochin,DEL _ LKO _ COK,21:50,03:35 02 Jun,5h 45m,1 stop,No info,8238.00
28.00,GoAir,15/05/2019,Delhi,Cochin,DEL _ BOM _ COK,07:00,12:55,5h 55m,1 stop,No info,7682.00
29.00,Vistara,18/06/2019,Banglore,Delhi,BLR _ DEL,09:45,12:35,2h 50m,non-stop,No info,4668.00
30.00,Vistara,15/06/2019,Chennai,Kolkata,MAA _ CCU,07:05,09:20,2h 15m,non-stop,No info,3687.00
31.00,Vistara,18/06/2019,Chennai,Kolkata,MAA _ CCU,07:05,09:20,2h 15m,non-stop,No info,3687.00
32.00,Air India,1/05/2019,Kolkata,Banglore,CCU _ GAU _ DEL _ BLR,09:50,23:15,13h 25m,2 stops,No info,13227.00
33.00,IndiGo,6/04/2019,Banglore,Delhi,BLR _ DEL,04:00,06:50,2h 50m,non-stop,No info,4423.00
34.00,Jet Airways,15/06/2019,Delhi,Cochin,DEL _ NAG _ BOM _ COK,14:35,12:35 16 Jun,22h,2 stops,In-flight meal not included,10919.00
35.00,Jet Airways,18/05/2019,Delhi,Cochin,DEL _ BOM _ COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,12373.00
36.00,IndiGo,27/06/2019,Delhi,Cochin,DEL _ BOM _ COK,10:35,21:00,10h 25m,1 stop,No info,5894.00
37.00,SpiceJet,21/05/2019,Kolkata,Banglore,CCU _ MAA _ BLR,15:05,20:20,5h 15m,1 stop,No info,4649.00
38.00,Air India,18/05/2019,Kolkata,Banglore,CCU _ BLR,14:15,16:45,2h 30m,non-stop,No info,6245.00
39.00,Jet Airways,06/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,07:00,13:15,6h 15m,1 stop,No info,19225.00
40.00,Jet Airways,3/06/2019,Delhi,Cochin,DEL _ BOM _ COK,07:05,19:00,11h 55m,1 stop,No info,14924.00
41.00,Multiple carriers,21/05/2019,Delhi,Cochin,DEL _ HYD _ COK,07:05,18:10,11h 5m,1 stop,No info,9646.00
42.00,Air India,15/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,06:45,15:15,8h 30m,1 stop,No info,8714.00
43.00,Jet Airways,18/05/2019,Delhi,Cochin,DEL _ BOM _ COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373.00
44.00,Air Asia,6/05/2019,Banglore,Delhi,BLR _ DEL,11:10,13:55,2h 45m,non-stop,No info,3383.00
45.00,Multiple carriers,21/03/2019,Delhi,Cochin,DEL _ BOM _ COK,09:00,21:00,12h,1 stop,No info,13062.00
46.00,SpiceJet,24/03/2019,Banglore,New Delhi,BLR _ DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,3527.00
47.00,IndiGo,27/05/2019,Banglore,Delhi,BLR _ DEL,04:00,06:50,2h 50m,non-stop,No info,3943.00
48.00,Air India,3/05/2019,Chennai,Kolkata,MAA _ CCU,11:40,13:55,2h 15m,non-stop,No info,4667.00
49.00,Air India,15/05/2019,Kolkata,Banglore,CCU _ HYD _ BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,6117.00
50.00,Jet Airways,27/06/2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150.00
51.00,Jet Airways,9/03/2019,Delhi,Cochin,DEL _ COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202.00
52.00,Jet Airways,1/05/2019,Kolkata,Banglore,CCU _ DEL _ BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121.00
53.00,IndiGo,24/03/2019,Banglore,New Delhi,BLR _ DEL,22:20,01:10 28 Mar,2h 50m,non-stop,No info,4377.00
54.00,IndiGo,18/06/2019,Banglore,Delhi,BLR _ DEL,21:15,00:15 19 Jun,3h,non-stop,No info,3943.00
55.00,Air Asia,3/04/2019,Banglore,Delhi,BLR _ DEL,23:55,02:45 04 Apr,2h 50m,non-stop,No info,4483.00
56.00,Jet Airways,24/03/2019,Kolkata,Banglore,CCU _ BOM _ BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No info,14231.00
57.00,Air India,01/03/2019,Banglore,New Delhi,BLR _ BOM _ AMD _ DEL,08:50,23:55,15h 5m,2 stops,No info,17345.00
58.00,Vistara,6/03/2019,Chennai,Kolkata,MAA _ CCU,07:05,09:20,2h 15m,non-stop,No info,7414.00
59.00,Multiple carriers,6/05/2019,Delhi,Cochin,DEL _ BOM _ COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073.00
60.00,Vistara,6/03/2019,Mumbai,Hyderabad,BOM _ DEL _ HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No info,12395.00
61.00,Air India,6/06/2019,Kolkata,Banglore,CCU _ BOM _ BLR,09:25,21:50,12h 25m,1 stop,No info,8366.00
62.00,Air India,3/04/2019,Delhi,Cochin,DEL _ MAA _ COK,06:05,09:25 04 Apr,27h 20m,1 stop,No info,5117.00
63.00,Multiple carriers,3/06/2019,Delhi,Cochin,DEL _ BOM _ COK,08:45,19:00,10h 15m,1 stop,No info,12524.00
64.00,IndiGo,15/05/2019,Delhi,Cochin,DEL _ BOM _ COK,15:00,01:30 16 May,10h 30m,1 stop,No info,7191.00
65.00,Vistara,24/05/2019,Chennai,Kolkata,MAA _ CCU,07:05,09:20,2h 15m,non-stop,No info,3687.00
66.00,IndiGo,24/06/2019,Delhi,Cochin,DEL _ BOM _ COK,10:35,21:00,10h 25m,1 stop,No info,5894.00
67.00,Vistara,24/04/2019,Banglore,Delhi,BLR _ DEL,09:45,12:35,2h 50m,non-stop,No info,5403.00
68.00,Air India,6/05/2019,Mumbai,Hyderabad,BOM _ HYD,13:55,15:25,1h 30m,non-stop,No info,3625.00
69.00,Air India,21/05/2019,Delhi,Cochin,DEL _ BHO _ BOM _ COK,05:55,19:15,13h 20m,2 stops,No info,10861.00
70.00,IndiGo,12/03/2019,Chennai,Kolkata,MAA _ CCU,13:20,15:35,2h 15m,non-stop,No info,6297.00
71.00,Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM _ HYD,07:05,08:30,1h 25m,non-stop,No info,5678.00
72.00,Jet Airways,09/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,05:45,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134.00
73.00,Multiple carriers,24/06/2019,Delhi,Cochin,DEL _ BOM _ COK,11:40,19:00,7h 20m,1 stop,In-flight meal not included,10791.00
74.00,Jet Airways,24/06/2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819.00
75.00,IndiGo,21/03/2019,Delhi,Cochin,DEL _ BLR _ COK,05:05,10:05,5h,1 stop,No info,6893.00
76.00,Vistara,09/03/2019,Banglore,New Delhi,BLR _ DEL,09:50,12:35,2h 45m,non-stop,No info,7240.00
77.00,GoAir,3/04/2019,Banglore,Delhi,BLR _ DEL,11:40,14:30,2h 50m,non-stop,No info,3898.00
78.00,IndiGo,3/04/2019,Mumbai,Hyderabad,BOM _ HYD,06:25,07:55,1h 30m,non-stop,No info,4049.00
79.00,Jet Airways,15/06/2019,Delhi,Cochin,DEL _ BOM _ COK,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,10262.00
80.00,SpiceJet,21/03/2019,Chennai,Kolkata,MAA _ CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332.00
81.00,Jet Airways,9/06/2019,Kolkata,Banglore,CCU _ BOM _ BLR,21:10,12:00 10 Jun,14h 50m,1 stop,In-flight meal not included,10844.00
82.00,Jet Airways,24/03/2019,Banglore,New Delhi,BLR _ DEL,19:55,22:35,2h 40m,non-stop,No info,7229.00
83.00,Jet Airways,6/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,06:30,04:40 07 May,22h 10m,1 stop,No info,13941.00
84.00,IndiGo,27/06/2019,Delhi,Cochin,DEL _ BOM _ COK,11:25,21:00,9h 35m,1 stop,No info,5894.00
85.00,Multiple carriers,18/05/2019,Delhi,Cochin,DEL _ BOM _ COK,09:00,19:00,10h,1 stop,No info,10197.00
86.00,Jet Airways,06/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,14:05,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,13712.00
87.00,IndiGo,24/06/2019,Delhi,Cochin,DEL _ MAA _ COK,02:00,07:25,5h 25m,1 stop,No info,5636.00
88.00,Jet Airways,6/06/2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,09:40,04:25 07 Jun,18h 45m,2 stops,No info,13014.00
89.00,Jet Airways,1/04/2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,20:45,12h 20m,1 stop,In-flight meal not included,7064.00
90.00,Jet Airways,24/05/2019,Kolkata,Banglore,CCU _ DEL _ BLR,20:25,14:25 25 May,18h,1 stop,In-flight meal not included,10703.00
91.00,Multiple carriers,27/05/2019,Delhi,Cochin,DEL _ HYD _ COK,13:15,22:30,9h 15m,1 stop,No info,9646.00
92.00,Multiple carriers,6/03/2019,Delhi,Cochin,DEL _ BOM _ COK,02:15,13:20,11h 5m,1 stop,No info,17057.00
93.00,Jet Airways,12/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,16:55,10:25 13 Mar,17h 30m,1 stop,No info,13817.00
94.00,Air India,6/03/2019,Delhi,Cochin,DEL _ BHO _ BOM _ COK,05:55,19:15,13h 20m,2 stops,No info,13748.00
95.00,Air India,21/04/2019,Kolkata,Banglore,CCU _ BLR,20:45,23:20,2h 35m,non-stop,No info,4880.00
96.00,IndiGo,21/06/2019,Chennai,Kolkata,MAA _ CCU,05:15,07:40,2h 25m,non-stop,No info,3540.00
97.00,SpiceJet,15/05/2019,Banglore,Delhi,BLR _ DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257.00
98.00,Jet Airways,3/06/2019,Banglore,Delhi,BLR _ DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478.00
99.00,Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM _ HYD,07:05,08:30,1h 25m,non-stop,No info,8040.00
100.00,Jet Airways,12/06/2019,Delhi,Cochin,DEL _ ATQ _ BOM _ COK,20:00,12:35 13 Jun,16h 35m,2 stops,No info,14300.00
101.00,Jet Airways,15/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,20:45,12h 20m,1 stop,No info,14781.00
102.00,Jet Airways,9/06/2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,08:15 10 Jun,12h 15m,1 stop,No info,14939.00
103.00,Jet Airways,24/06/2019,Delhi,Cochin,DEL _ BOM _ COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262.00
104.00,Air India,12/05/2019,Kolkata,Banglore,CCU _ MAA _ BLR,14:35,14:35 13 May,24h,1 stop,No info,6528.00
105.00,Air India,1/05/2019,Banglore,Delhi,BLR _ DEL,06:10,08:55,2h 45m,non-stop,No info,6121.00
106.00,Jet Airways,18/05/2019,Delhi,Cochin,DEL _ JAI _ BOM _ COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029.00
107.00,Multiple carriers,27/03/2019,Delhi,Cochin,DEL _ BOM _ COK,11:40,18:50,7h 10m,1 stop,No info,11421.00
108.00,Multiple carriers,27/03/2019,Delhi,Cochin,DEL _ BOM _ COK,04:45,19:15,14h 30m,1 stop,No info,7574.00
109.00,Air India,9/05/2019,Delhi,Cochin,DEL _ JDH _ BOM _ COK,12:55,19:15 10 May,30h 20m,2 stops,No info,11596.00
110.00,Jet Airways,24/05/2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,23:05,19:00 25 May,19h 55m,2 stops,No info,15129.00
111.00,Jet Airways,18/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,14:05,05:05 16 Mar,15h,1 stop,No info,13555.00
112.00,IndiGo,12/04/2019,Banglore,Delhi,BLR _ DEL,18:55,21:50,2h 55m,non-stop,No info,5780.00
113.00,Vistara,12/05/2019,Kolkata,Banglore,CCU _ DEL _ BLR,20:20,09:05 13 May,12h 45m,1 stop,No info,9397.00
114.00,Jet Airways,6/03/2019,Delhi,Cochin,DEL _ BOM _ COK,18:15,04:25 07 Mar,10h 10m,1 stop,No info,17024.00
115.00,GoAir,27/06/2019,Delhi,Cochin,DEL _ BOM _ COK,07:00,12:55,5h 55m,1 stop,No info,5281.00
116.00,Multiple carriers,18/05/2019,Delhi,Cochin,DEL _ HYD _ COK,07:05,22:30,15h 25m,1 stop,No info,10348.00
117.00,Air India,6/03/2019,Delhi,Cochin,DEL _ MAA _ COK,17:20,09:25 07 Mar,16h 5m,1 stop,No info,12677.00
118.00,Multiple carriers,3/03/2019,Delhi,Cochin,DEL _ BOM _ COK,15:25,01:35 04 Mar,10h 10m,1 stop,No info,15147.00
119.00,Vistara,12/06/2019,Banglore,Delhi,BLR _ DEL,07:00,09:40,2h 40m,non-stop,No info,4668.00
120.00,Jet Airways,9/05/2019,Delhi,Cochin,DEL _ BOM _ COK,07:05,19:00,11h 55m,1 stop,No info,15554.00
121.00,SpiceJet,9/04/2019,Banglore,Delhi,BLR _ DEL,05:55,08:35,2h 40m,non-stop,No info,3971.00
122.00,Air India,3/05/2019,Mumbai,Hyderabad,BOM _ HYD,15:00,16:25,1h 25m,non-stop,No info,3100.00
123.00,Jet Airways,6/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,9663.00
124.00,Air India,1/03/2019,Delhi,Cochin,DEL _ BOM _ COK,23:00,19:15 02 Mar,20h 15m,1 stop,No info,27430.00
125.00,IndiGo,12/05/2019,Chennai,Kolkata,MAA _ CCU,05:15,07:40,2h 25m,non-stop,No info,3540.00
126.00,Air India,21/05/2019,Kolkata,Banglore,CCU _ BBI _ BOM _ BLR,12:00,11:10 22 May,23h 10m,2 stops,No info,10676.00
127.00,Jet Airways,12/06/2019,Kolkata,Banglore,CCU _ BOM _ BLR,14:05,08:15 13 Jun,18h 10m,1 stop,No info,13044.00
128.00,Jet Airways,6/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,12:00 07 May,16h,1 stop,No info,14388.00
129.00,IndiGo,24/06/2019,Banglore,Delhi,BLR _ DEL,04:00,06:50,2h 50m,non-stop,No info,3943.00
130.00,IndiGo,3/06/2019,Chennai,Kolkata,MAA _ CCU,14:45,17:05,2h 20m,non-stop,No info,3597.00
131.00,Air India,21/03/2019,Banglore,New Delhi,BLR _ MAA _ DEL,11:50,19:50,8h,1 stop,No info,5932.00
132.00,Jet Airways,15/06/2019,Delhi,Cochin,DEL _ BOM _ COK,11:30,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,10262.00
133.00,Vistara,12/05/2019,Delhi,Cochin,DEL _ COK,14:40,17:50,3h 10m,non-stop,No info,6216.00
134.00,IndiGo,15/06/2019,Kolkata,Banglore,CCU _ BLR,20:25,23:10,2h 45m,non-stop,No info,4804.00
135.00,Multiple carriers,21/05/2019,Delhi,Cochin,DEL _ BOM _ COK,11:30,01:30 22 May,14h,1 stop,No info,14067.00
136.00,Jet Airways,18/05/2019,Delhi,Cochin,DEL _ AMD _ BOM _ COK,19:10,19:00 19 May,23h 50m,2 stops,No info,15129.00
137.00,Jet Airways,6/06/2019,Delhi,Cochin,DEL _ NAG _ BOM _ COK,06:45,04:25 07 Jun,21h 40m,2 stops,No info,13376.00
138.00,Air India,27/06/2019,Delhi,Cochin,DEL _ GOI _ BOM _ COK,22:00,19:15 28 Jun,21h 15m,2 stops,No info,10441.00
139.00,Jet Airways,24/05/2019,Banglore,Delhi,BLR _ DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4030.00
140.00,Jet Airways,3/03/2019,Delhi,Cochin,DEL _ BOM _ COK,08:00,18:50,10h 50m,1 stop,No info,17024.00
141.00,Multiple carriers,9/04/2019,Delhi,Cochin,DEL _ BOM _ COK,17:30,01:30 10 Apr,8h,1 stop,No info,13017.00
142.00,GoAir,6/06/2019,Kolkata,Banglore,CCU _ BOM _ BLR,23:30,07:45 07 Jun,8h 15m,1 stop,No info,6686.00
143.00,IndiGo,15/06/2019,Delhi,Cochin,DEL _ MAA _ COK,02:00,07:25,5h 25m,1 stop,No info,5636.00
144.00,IndiGo,9/06/2019,Delhi,Cochin,DEL _ HYD _ COK,07:35,16:10,8h 35m,1 stop,No info,6442.00
145.00,Multiple carriers,21/05/2019,Delhi,Cochin,DEL _ HYD _ COK,13:05,00:55 22 May,11h 50m,1 stop,No info,9486.00
146.00,Jet Airways,21/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,23:35 22 May,27h 35m,1 stop,In-flight meal not included,10844.00
147.00,Jet Airways,3/06/2019,Delhi,Cochin,DEL _ ATQ _ BOM _ COK,20:00,04:25 04 Jun,8h 25m,2 stops,In-flight meal not included,15318.00
148.00,Air India,3/04/2019,Delhi,Cochin,DEL _ MAA _ COK,12:30,09:25 04 Apr,20h 55m,1 stop,No info,5117.00
149.00,IndiGo,24/06/2019,Delhi,Cochin,DEL _ BLR _ COK,15:10,20:00,4h 50m,1 stop,No info,6147.00
150.00,Multiple carriers,9/06/2019,Delhi,Cochin,DEL _ BOM _ COK,12:50,21:00,8h 10m,1 stop,No info,7005.00
151.00,SpiceJet,3/04/2019,Kolkata,Banglore,CCU _ BLR,22:20,00:40 04 Apr,2h 20m,non-stop,No info,3873.00
152.00,Jet Airways,21/03/2019,Delhi,Cochin,DEL _ BDQ _ BOM _ COK,18:25,18:50 22 Mar,24h 25m,2 stops,In-flight meal not included,9270.00
153.00,GoAir,27/06/2019,Banglore,Delhi,BLR _ DEL,11:40,14:30,2h 50m,non-stop,No info,3898.00
154.00,Jet Airways,12/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,08:25,20:45,12h 20m,1 stop,No info,14781.00
155.00,Jet Airways,24/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,08:15 25 May,12h 15m,1 stop,In-flight meal not included,8586.00
156.00,Air India,9/05/2019,Kolkata,Banglore,CCU _ JAI _ BOM _ BLR,08:20,07:55 10 May,23h 35m,2 stops,No info,10697.00
157.00,Jet Airways,27/06/2019,Delhi,Cochin,DEL _ ATQ _ BOM _ COK,20:00,12:35 28 Jun,16h 35m,2 stops,No info,14300.00
158.00,IndiGo,03/03/2019,Banglore,New Delhi,BLR _ DEL,18:55,21:45,2h 50m,non-stop,No info,8855.00
159.00,Jet Airways,12/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:30,18:15 13 May,25h 45m,1 stop,In-flight meal not included,10844.00
160.00,Jet Airways,6/03/2019,Delhi,Cochin,DEL _ BOM _ COK,02:15,04:25 07 Mar,26h 10m,1 stop,No info,17024.00
161.00,Jet Airways,1/05/2019,Kolkata,Banglore,CCU _ DEL _ BLR,09:35,14:25 02 May,28h 50m,1 stop,In-flight meal not included,9314.00
162.00,IndiGo,24/03/2019,Banglore,New Delhi,BLR _ DEL,00:40,03:25,2h 45m,non-stop,No info,4777.00
163.00,Air India,9/06/2019,Kolkata,Banglore,CCU _ BBI _ BLR,12:00,13:15 10 Jun,25h 15m,1 stop,No info,7662.00
164.00,IndiGo,9/05/2019,Delhi,Cochin,DEL _ HYD _ COK,06:50,16:10,9h 20m,1 stop,No info,6442.00
165.00,SpiceJet,12/06/2019,Delhi,Cochin,DEL _ PNQ _ COK,08:45,13:15,4h 30m,1 stop,No info,5264.00
166.00,Jet Airways,27/05/2019,Delhi,Cochin,DEL _ BOM _ COK,13:00,04:25 28 May,15h 25m,1 stop,In-flight meal not included,12898.00
167.00,Air India,3/03/2019,Mumbai,Hyderabad,BOM _ HYD,13:55,15:25,1h 30m,non-stop,No info,6092.00
168.00,SpiceJet,21/05/2019,Banglore,Delhi,BLR _ DEL,05:55,08:35,2h 40m,non-stop,No info,3311.00
169.00,Jet Airways,27/03/2019,Delhi,Cochin,DEL _ BOM _ COK,19:15,04:25 28 Mar,9h 10m,1 stop,In-flight meal not included,6540.00
170.00,IndiGo,27/05/2019,Banglore,Delhi,BLR _ DEL,01:30,04:15,2h 45m,non-stop,No info,3419.00
171.00,Jet Airways,3/04/2019,Delhi,Cochin,DEL _ BOM _ COK,14:00,12:35 04 Apr,22h 35m,1 stop,In-flight meal not included,5177.00
172.00,Air India,18/04/2019,Delhi,Cochin,DEL _ COK,18:05,21:10,3h 5m,non-stop,No info,8246.00
173.00,Jet Airways,9/06/2019,Kolkata,Banglore,CCU _ DEL _ BLR,09:35,21:05,11h 30m,1 stop,No info,14676.00
174.00,Multiple carriers,27/06/2019,Delhi,Cochin,DEL _ BOM _ COK,11:30,21:00,9h 30m,1 stop,No info,13587.00
175.00,Jet Airways,6/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,21:10,09:20 07 May,12h 10m,1 stop,In-flight meal not included,9663.00
176.00,Jet Airways,12/06/2019,Kolkata,Banglore,CCU _ BOM _ BLR,16:30,10:05 13 Jun,17h 35m,1 stop,No info,13044.00
177.00,IndiGo,3/04/2019,Delhi,Cochin,DEL _ BOM _ COK,20:25,01:30 04 Apr,5h 5m,1 stop,No info,5073.00
178.00,Vistara,21/05/2019,Kolkata,Banglore,CCU _ DEL _ BLR,17:00,18:50 22 May,25h 50m,1 stop,No info,9345.00
179.00,Jet Airways,6/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,14:05,10:05 07 May,20h,1 stop,In-flight meal not included,9663.00
180.00,Multiple carriers,21/05/2019,Delhi,Cochin,DEL _ BOM _ COK,08:00,21:00,13h,1 stop,No info,14277.00
181.00,Jet Airways,1/06/2019,Delhi,Cochin,DEL _ BOM _ COK,10:00,04:25 02 Jun,18h 25m,1 stop,In-flight meal not included,10262.00
182.00,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM _ HYD,19:35,21:05,1h 30m,non-stop,No info,5678.00
183.00,Multiple carriers,15/05/2019,Delhi,Cochin,DEL _ BOM _ COK,16:00,01:30 16 May,9h 30m,1 stop,No info,13727.00
184.00,Jet Airways,6/05/2019,Kolkata,Banglore,CCU _ BOM _ BLR,20:00,12:00 07 May,16h,1 stop,In-flight meal not included,9663.00
185.00,IndiGo,12/05/2019,Chennai,Kolkata,MAA _ CCU,14:45,17:05,2h 20m,non-stop,No info,3858.00
186.00,SpiceJet,24/06/2019,Delhi,Cochin,DEL _ PNQ _ COK,08:45,13:15,4h 30m,1 stop,No info,4812.00
187.00,IndiGo,27/06/2019,Delhi,Cochin,DEL _ LKO _ COK,21:50,03:35 28 Jun,5h 45m,1 stop,No info,5775.00
188.00,Jet Airways,6/06/2019,Kolkata,Banglore,CCU _ DEL _ BLR,09:35,09:45 07 Jun,24h 10m,1 stop,In-flight meal not included,10539.00
189.00,IndiGo,3/06/2019,Kolkata,Banglore,CCU _ BLR,15:30,18:05,2h 35m,non-stop,No info,4804.00
190.00,Air Asia,12/06/2019,Banglore,Delhi,BLR _ DEL,11:10,13:55,2h 45m,non-stop,No info,3383.00
191.00,IndiGo,03/03/2019,Banglore,New Delhi,BLR _ HYD _ DEL,12:10,17:05,4h 55m,1 stop,No info,8738.00
192.00,Air India,27/03/2019,Delhi,Cochin,DEL _ TRV _ COK,05:15,06:50 28 Mar,25h 35m,1 stop,No info,7165.00
193.00,IndiGo,24/06/2019,Delhi,Cochin,DEL _ HYD _ COK,16:10,22:30,6h 20m,1 stop,No info,6412.00
194.00,Jet Airways,27/06/2019,Banglore,Delhi,BLR _ DEL,18:55,22:00,3h 5m,non-stop,No info,8016.00
195.00,Jet Airways,12/03/2019,Banglore,New Delhi,BLR _ BOM _ DEL,20:35,15:15 13 Mar,18h 40m,1 stop,In-flight meal not included,11087.00
