CustomerID,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisited,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,FeedbackScore,OwnCar,NumberOfChildrenVisited,Des key,MonthlyIncome
200776,Yes,20,Company Invited,3,15,Small Business,Female,2,3,Basic,3,Single,2,1,4,0,0,D-2,17323
200856,No,20,Self Enquiry,1,9,Salaried,Male,2,4,Basic,3,Single,2,0,3,0,1,D-2,18033
200876,No,20,Self Enquiry,3,27,Small Business,Male,2,1,Basic,3,Single,2,0,3,0,0,D-2,17678
200023,No,21,Self Enquiry,1,21,Salaried,Male,3,3,Basic,3,Single,2,0,3,1,1,D-2,16232
200274,No,21,Self Enquiry,1,9,Small Business,Male,3,4,Basic,3,Single,2,0,5,1,1,D-2,18230
200357,Yes,21,Company Invited,3,6,Large Business,Female,2,4,Basic,4,Single,2,1,5,1,1,D-2,17174
200362,No,21,Company Invited,3,15,Small Business,Male,2,3,Basic,3,Single,2,0,4,0,0,D-2,17610
200370,Yes,21,Self Enquiry,3,18,Salaried,Female,2,2,Basic,4,Single,2,0,5,0,1,D-2,17716
200663,Yes,21,Self Enquiry,1,24,Salaried,Female,3,3,Basic,3,Single,2,0,3,1,1,D-2,17693
200777,Yes,21,Self Enquiry,1,16,Salaried,Female,2,4,Basic,5,Single,2,0,3,1,0,D-2,16416
200815,No,21,Self Enquiry,1,6,Large Business,Female,3,4,Basic,4,Single,2,1,5,0,2,D-2,17070
200915,Yes,21,Company Invited,1,16,Salaried,Female,2,4,Basic,3,Single,2,0,4,1,0,D-2,17625
200017,No,22,Company Invited,1,22,Small Business,Male,3,2,Basic,3,Married,2,1,3,0,0,D-2,17935
200109,No,22,Self Enquiry,1,21,Small Business,Female,2,3,Basic,3,Single,2,0,2,1,1,D-2,17871
200128,No,22,Self Enquiry,1,8,Large Business,Male,3,3,Basic,3,Divorced,1,0,5,1,2,D-2,17523
200160,No,22,Self Enquiry,1,25,Small Business,Male,3,3,Basic,3,Divorced,2,0,2,0,1,D-2,17323
200206,No,22,Self Enquiry,1,11,Salaried,Male,2,2,Basic,4,Married,2,1,4,0,0,D-2,17328
200383,No,22,Self Enquiry,1,17,Small Business,Female,2,3,Basic,4,Divorced,2,0,2,1,0,D-2,17244
200498,No,22,Self Enquiry,1,12,Small Business,Male,3,3,Basic,3,Divorced,1,0,2,1,0,D-2,17773
200630,No,22,Self Enquiry,1,9,Salaried,Male,2,4,Deluxe,3,Divorced,7,0,2,1,0,D-3,19775
200639,No,22,Self Enquiry,1,6,Large Business,Female,2,3,Basic,5,Divorced,3,0,4,1,0,D-2,18580
200734,No,22,Self Enquiry,1,14,Salaried,Male,3,5,Basic,5,Divorced,2,0,2,1,0,D-2,17451
200860,Yes,22,Company Invited,1,9,Salaried,Male,2,4,Basic,3,Divorced,1,1,3,0,0,D-2,17853
200086,No,23,Self Enquiry,3,8,Large Business,Male,3,3,Basic,5,Married,4,0,3,1,1,D-2,17322
200141,No,23,Self Enquiry,1,35,Small Business,Male,2,3,Basic,3,Single,6,0,2,1,0,D-2,18452
200345,No,23,Self Enquiry,1,32,Salaried,Male,2,3,Basic,3,Married,2,0,2,1,1,D-2,17904
200389,No,23,Self Enquiry,1,16,Salaried,Male,2,3,Deluxe,4,Single,3,1,5,0,1,D-3,43011
200436,Yes,23,Self Enquiry,1,16,Small Business,Male,2,5,Basic,3,Married,1,0,5,0,0,D-2,18408
200449,No,23,Company Invited,1,14,Salaried,Female,2,3,Basic,3,Divorced,2,0,2,0,0,D-2,9675
200516,No,23,Self Enquiry,1,10,Small Business,Male,2,2,Basic,5,Divorced,3,0,4,0,1,D-2,17819
200550,No,23,Self Enquiry,1,15,Small Business,Male,2,3,Basic,5,Divorced,2,0,3,0,1,D-2,17500
200585,Yes,23,Self Enquiry,1,12,Salaried,Male,3,1,Basic,5,Divorced,2,1,3,1,2,D-2,16601
200767,No,23,Self Enquiry,1,9,Salaried,Female,2,3,Deluxe,4,Single,4,0,4,1,0,D-3,71464
200910,No,23,Self Enquiry,1,6,Salaried,Male,2,3,Basic,3,Divorced,2,0,4,0,1,D-2,16223
200965,No,23,Self Enquiry,1,25,Small Business,Male,3,3,Basic,3,Divorced,4,0,5,1,2,D-2,18669
200034,Yes,24,Self Enquiry,1,6,Small Business,Male,3,3,Basic,3,Divorced,3,1,3,1,2,D-2,17293
200096,No,24,Self Enquiry,3,9,Salaried,Female,2,3,Deluxe,3,Divorced,1,0,4,1,0,D-3,19999
200113,No,24,Self Enquiry,1,24,Salaried,Male,2,3,Basic,3,Divorced,1,0,4,1,0,D-2,17774
200364,No,24,Self Enquiry,1,16,Small Business,Female,3,3,Basic,5,Divorced,7,0,2,1,1,D-2,18452
200380,No,24,Self Enquiry,3,10,Small Business,Female,3,3,Deluxe,3,Married,2,1,2,0,2,D-3,50563
200414,Yes,24,Self Enquiry,3,6,Large Business,Female,3,3,Basic,4,Single,2,1,4,1,2,D-2,18202
200470,No,24,Company Invited,3,30,Small Business,Male,2,3,Basic,3,Divorced,1,0,4,0,1,D-2,17400
200474,No,24,Self Enquiry,1,29,Small Business,Male,2,2,Basic,3,Divorced,2,1,4,0,1,D-2,17725
200476,No,24,Self Enquiry,1,23,Salaried,Male,3,4,Basic,4,Divorced,2,0,3,1,1,D-2,17127
200479,Yes,24,Company Invited,1,13,Salaried,Female,2,3,Basic,3,Divorced,2,1,4,0,0,D-2,17886
200525,Yes,24,Self Enquiry,3,5,Salaried,Female,3,3,Deluxe,3,Single,1,0,2,1,0,D-3,19577
200586,No,24,Company Invited,1,15,Salaried,Male,2,4,Basic,4,Married,2,0,5,1,0,D-2,17694
200640,No,24,Company Invited,1,10,Salaried,Male,2,4,Basic,3,Divorced,1,0,3,0,0,D-2,18162
200724,No,24,Self Enquiry,1,10,Small Business,Female,2,4,Deluxe,3,Married,2,0,3,1,1,D-3,36993
200871,Yes,24,Self Enquiry,1,23,Salaried,Female,3,3,Basic,4,Divorced,2,0,2,0,1,D-2,17210
200874,No,24,Self Enquiry,1,13,Salaried,Male,2,3,Deluxe,3,Married,2,0,5,1,1,D-3,18491
200995,No,24,Self Enquiry,1,12,Small Business,Female,3,4,Deluxe,3,Single,2,1,4,1,1,D-3,25433
200011,No,25,Self Enquiry,1,21,Salaried,Female,2,4,Deluxe,3,Single,1,1,3,0,0,D-3,56842
200069,Yes,25,Self Enquiry,1,15,Small Business,Male,3,4,Basic,3,Divorced,1,1,2,0,1,D-2,18388
200107,Yes,25,Self Enquiry,3,11,Small Business,Male,2,4,Deluxe,3,Single,2,1,3,1,0,D-3,20744
200108,No,25,Self Enquiry,1,13,Small Business,Male,3,4,Basic,3,Divorced,2,0,2,1,2,D-2,17889
200138,No,25,Self Enquiry,3,34,Salaried,Male,2,4,Deluxe,3,Divorced,3,0,4,0,0,D-3,23639
200248,No,25,Self Enquiry,1,6,Small Business,Female,2,4,Basic,5,Divorced,3,0,4,1,1,D-2,27639
200255,No,25,Self Enquiry,1,5,Salaried,Female,3,3,Deluxe,3,Divorced,1,0,3,1,1,D-3,19898
200397,No,25,Self Enquiry,3,10,Salaried,Female,2,4,Deluxe,3,Single,2,1,2,0,1,D-3,19487
200478,No,25,Self Enquiry,3,19,Small Business,Male,2,3,Basic,3,Divorced,2,0,3,1,0,D-2,17096
200517,No,25,Self Enquiry,3,10,Salaried,Male,2,2,Deluxe,4,Divorced,1,0,4,0,0,D-3,19851
200563,No,25,Self Enquiry,3,32,Small Business,Female,2,3,Deluxe,3,Single,2,0,4,0,0,D-3,21180
200613,No,25,Self Enquiry,2,9,Salaried,Male,2,3,Basic,3,Divorced,1,0,2,1,1,D-2,13393
200638,No,25,Self Enquiry,3,6,Small Business,Male,2,4,Deluxe,5,Divorced,2,0,3,1,1,D-3,56971
200683,Yes,25,Self Enquiry,3,25,Small Business,Male,2,4,Basic,4,Divorced,2,1,2,0,0,D-2,17413
200719,No,25,Self Enquiry,3,10,Salaried,Female,2,3,Deluxe,3,Single,2,1,3,1,1,D-3,61430
200885,No,25,Self Enquiry,3,16,Salaried,Male,2,4,Deluxe,3,Single,1,0,2,0,1,D-3,19950
200911,Yes,25,Company Invited,3,30,Salaried,Male,3,5,Basic,3,Single,2,1,1,1,1,D-2,16118
200934,No,25,Self Enquiry,1,6,Small Business,Female,2,3,Basic,4,Single,2,0,3,1,0,D-2,17096
200993,No,25,Self Enquiry,3,24,Salaried,Male,3,1,Deluxe,3,Divorced,3,0,1,0,0,D-3,21232
200042,Yes,26,Self Enquiry,1,31,Salaried,Male,2,5,Basic,3,Single,2,0,2,1,1,D-2,17293
200125,No,26,Self Enquiry,1,12,Salaried,Female,2,4,Basic,4,Divorced,2,0,3,1,0,D-2,17368
200134,No,26,Self Enquiry,2,31,Salaried,Female,3,3,Basic,3,Divorced,2,0,4,1,0,D-2,17942
200140,Yes,26,Self Enquiry,1,15,Small Business,Female,2,3,Basic,5,Single,1,0,4,1,1,D-2,43260
200180,No,26,Self Enquiry,1,18,Small Business,Female,3,3,Basic,3,Divorced,1,1,4,1,2,D-2,11310
200278,No,26,Company Invited,1,6,Salaried,Female,2,3,Deluxe,4,Married,2,0,5,0,1,D-3,21397
200284,No,26,Company Invited,1,7,Small Business,Male,2,3,Deluxe,5,Divorced,2,1,3,1,1,D-3,19741
200288,Yes,26,Self Enquiry,1,22,Small Business,Male,2,3,Basic,4,Married,3,1,2,1,1,D-2,17373
200293,Yes,26,Self Enquiry,3,10,Small Business,Male,2,4,Deluxe,3,Single,2,1,2,1,1,D-3,20828
200355,No,26,Self Enquiry,3,6,Salaried,Male,2,3,Deluxe,3,Divorced,2,0,5,1,0,D-3,20296
200382,Yes,26,Company Invited,1,9,Large Business,Male,3,3,Basic,5,Single,1,0,3,0,2,D-2,18102
200418,No,26,Self Enquiry,1,29,Salaried,Female,2,3,Basic,3,Married,2,0,3,1,1,D-2,17886
200453,Yes,26,Company Invited,2,23,Salaried,Female,2,3,Basic,3,Married,1,1,5,0,1,D-2,17741
200460,No,26,Self Enquiry,3,5,Small Business,Male,2,3,Deluxe,3,Married,6,0,5,1,0,D-3,43685
200463,Yes,26,Self Enquiry,1,30,Large Business,Male,3,5,Basic,3,Single,2,1,3,1,2,D-2,17340
200475,No,26,Self Enquiry,3,34,Small Business,Male,3,3,Deluxe,4,Divorced,2,0,3,1,0,D-3,21272
200505,No,26,Self Enquiry,1,12,Salaried,Female,3,3,Basic,3,Divorced,2,1,2,0,0,D-2,17659
200571,No,26,Company Invited,1,6,Salaried,Female,3,5,Basic,3,Married,4,0,4,1,2,D-2,45329
200573,Yes,26,Self Enquiry,3,14,Large Business,Male,2,4,Deluxe,5,Single,7,0,3,1,1,D-3,20326
200614,Yes,26,Company Invited,1,11,Small Business,Female,2,4,Basic,3,Divorced,2,1,2,0,1,D-2,17366
200685,No,26,Company Invited,3,5,Small Business,Male,2,4,Deluxe,5,Single,2,0,3,1,1,D-3,67551
200733,No,26,Self Enquiry,1,8,Small Business,Male,2,1,Deluxe,3,Divorced,2,0,3,1,1,D-3,20472
200748,Yes,26,Company Invited,3,35,Small Business,Male,3,3,Deluxe,5,Single,1,0,3,0,0,D-3,19969
200762,Yes,26,Company Invited,1,8,Salaried,Male,2,3,Basic,5,Divorced,7,1,5,1,0,D-2,17042
200769,No,26,Company Invited,1,6,Small Business,Female,3,4,Basic,3,Married,2,0,2,1,0,D-2,17007
200783,No,26,Self Enquiry,1,13,Large Business,Female,2,1,Basic,3,Divorced,2,0,3,1,1,D-2,18376
200797,Yes,26,Self Enquiry,1,27,Small Business,Male,2,3,Basic,3,Married,2,0,5,1,1,D-2,17377
200843,No,26,Self Enquiry,1,6,Small Business,Male,2,1,Basic,3,Divorced,2,0,5,1,1,D-2,8724
200912,No,26,Self Enquiry,1,10,Salaried,Male,2,3,Basic,3,Single,2,1,1,0,0,D-2,17875
200021,Yes,27,Self Enquiry,3,15,Salaried,Male,2,4,Deluxe,5,Single,1,0,2,0,0,D-3,18407
200041,No,27,Self Enquiry,1,8,Salaried,Female,2,3,Basic,5,Married,2,0,3,0,1,D-2,17341
200043,No,27,Company Invited,3,14,Salaried,Male,2,3,Standard,3,Unmarried,2,0,2,1,0,D-4,23726
200161,No,27,Company Invited,1,15,Small Business,Male,2,3,Basic,4,Married,7,0,3,0,0,D-2,17024
200164,No,27,Company Invited,1,9,Small Business,Male,3,4,Basic,3,Married,2,1,2,0,2,D-2,17566
200170,No,27,Self Enquiry,1,23,Large Business,Male,2,3,Basic,4,Divorced,1,1,4,1,0,D-2,18058
200191,No,27,Self Enquiry,1,15,Small Business,Female,2,3,Basic,4,Single,2,0,3,1,0,D-2,17279
200200,No,27,Company Invited,1,7,Large Business,Male,2,4,Deluxe,5,Divorced,6,0,3,0,1,D-3,4403
200212,No,27,Company Invited,3,26,Salaried,Fe Male,2,3,Deluxe,3,Unmarried,2,0,2,1,1,D-3,24981
200298,No,27,Company Invited,1,24,Salaried,Male,2,2,Basic,3,Divorced,5,0,5,0,0,D-2,18688
200318,No,27,Self Enquiry,1,11,Salaried,Female,2,3,Basic,4,Single,2,1,3,0,1,D-2,17478
200320,No,27,Self Enquiry,3,7,Salaried,Male,3,3,Deluxe,3,Single,2,1,4,1,2,D-3,56668
200331,No,27,Company Invited,3,6,Small Business,Male,3,3,Deluxe,4,Divorced,1,1,2,0,2,D-3,21349
200339,No,27,Self Enquiry,3,14,Small Business,Female,2,3,Deluxe,4,Divorced,2,0,2,0,0,D-3,21214
200443,Yes,27,Company Invited,1,10,Large Business,Male,2,4,Basic,3,Single,6,0,5,1,0,D-2,29666
200485,No,27,Self Enquiry,1,12,Small Business,Female,3,4,Basic,3,Married,1,0,2,1,1,D-2,17187
200495,Yes,27,Self Enquiry,3,8,Small Business,Male,2,3,Basic,5,Married,1,0,5,0,1,D-2,18041
200512,No,27,Self Enquiry,1,9,Small Business,Male,2,4,Basic,3,Single,1,0,2,0,0,D-2,17045
200521,No,27,Company Invited,3,6,Small Business,Female,3,2,Deluxe,3,Married,2,1,2,1,2,D-3,19647
200530,No,27,Self Enquiry,1,6,Salaried,Female,3,3,Standard,5,Divorced,2,0,4,1,2,D-4,22412
200537,No,27,Company Invited,1,16,Salaried,Male,2,3,Standard,5,Married,2,0,3,1,0,D-4,23793
200554,No,27,Self Enquiry,1,13,Small Business,Female,2,4,Deluxe,5,Unmarried,1,0,3,1,0,D-3,21811
200576,No,27,Self Enquiry,3,10,Small Business,Male,2,3,Deluxe,3,Divorced,1,0,3,0,1,D-3,35689
200610,No,27,Self Enquiry,1,11,Large Business,Male,2,4,Standard,3,Married,2,1,3,0,0,D-4,27808
200615,No,27,Company Invited,1,9,Small Business,Male,2,3,Basic,3,Divorced,2,0,2,1,0,D-2,16706
200670,No,27,Self Enquiry,1,10,Salaried,Female,3,3,Basic,3,Single,2,0,2,1,1,D-2,17318
200717,No,27,Self Enquiry,1,22,Large Business,Female,2,3,Basic,4,Divorced,1,0,2,1,0,D-2,17811
200739,No,27,Self Enquiry,1,8,Salaried,Female,2,3,Deluxe,3,Divorced,1,0,5,0,1,D-3,46465
200786,No,27,Company Invited,1,6,Salaried,Male,2,5,Basic,3,Divorced,2,0,2,1,1,D-2,19621
200833,No,27,Self Enquiry,1,12,Salaried,Male,2,4,Basic,3,Divorced,2,0,2,1,1,D-2,17539
200889,No,27,Self Enquiry,1,20,Salaried,Male,2,3,Basic,5,Divorced,2,1,4,1,0,D-2,17235
200902,No,27,Self Enquiry,1,10,Salaried,Male,3,3,Basic,3,Married,2,0,4,1,1,D-2,17517
200924,No,27,Self Enquiry,1,12,Salaried,Male,3,3,Basic,3,Divorced,1,1,3,1,1,D-2,18506
200970,No,27,Self Enquiry,3,17,Small Business,Female,3,1,Basic,3,Divorced,1,0,3,1,1,D-2,17534
200974,No,27,Company Invited,3,8,Salaried,Male,2,5,Deluxe,3,Single,4,0,4,1,1,D-3,20071
200996,No,27,Self Enquiry,3,16,Small Business,Female,3,4,Deluxe,3,Divorced,2,1,3,1,2,D-3,20769
200997,Yes,27,Self Enquiry,1,23,Salaried,Female,2,3,Basic,3,Single,2,1,5,1,0,D-2,17394
200014,Yes,28,Self Enquiry,1,30,Salaried,Male,2,4,Basic,3,Single,6,1,2,0,0,D-2,17028
200162,No,28,Self Enquiry,1,27,Small Business,Male,2,3,Basic,3,Divorced,2,0,2,0,0,D-2,17713
200272,No,28,Self Enquiry,1,15,Small Business,Male,3,3,Basic,3,Divorced,2,0,2,1,1,D-2,17070
200289,No,28,Self Enquiry,1,14,Salaried,Female,3,3,Basic,3,Single,2,0,4,0,1,D-2,18310
200302,No,28,Self Enquiry,1,22,Small Business,Male,3,2,Deluxe,5,Single,1,0,5,0,2,D-3,20661
200337,No,28,Self Enquiry,1,15,Salaried,Male,1,4,Basic,3,Single,1,0,2,1,0,D-2,42495
200374,No,28,Self Enquiry,3,15,Salaried,Male,3,3,Deluxe,3,Single,2,0,3,1,0,D-3,20253
200404,No,28,Self Enquiry,1,9,Small Business,Male,3,3,Deluxe,5,Married,2,0,2,0,0,D-3,19558
200540,Yes,28,Self Enquiry,1,6,Salaried,Female,3,5,Basic,4,Single,1,1,2,1,0,D-2,17216
200598,Yes,28,Self Enquiry,1,9,Small Business,Male,2,3,Basic,3,Single,7,0,3,0,0,D-2,83945
200612,No,28,Self Enquiry,3,6,Small Business,Female,2,3,Deluxe,4,Divorced,2,1,3,1,0,D-3,19779
200629,No,28,Self Enquiry,2,14,Small Business,Male,3,4,Basic,3,Married,2,0,2,0,1,D-2,19936
200659,No,28,Self Enquiry,3,11,Small Business,Male,3,3,Deluxe,3,Single,2,0,3,1,0,D-3,19908
200668,No,28,Self Enquiry,1,15,Small Business,Female,3,3,Basic,3,Married,6,0,3,1,1,D-2,17377
200764,No,28,Self Enquiry,3,16,Small Business,Male,3,3,Basic,4,Divorced,2,0,5,1,1,D-2,16052
200780,Yes,28,Company Invited,1,30,Large Business,Male,3,4,Standard,5,Unmarried,2,0,2,0,0,D-4,23722
200793,No,28,Self Enquiry,1,21,Salaried,Male,2,3,Basic,3,Married,2,0,4,1,1,D-2,17207
200800,Yes,28,Company Invited,1,6,Small Business,Male,2,4,Basic,4,Married,2,0,4,0,0,D-2,17596
200809,No,28,Self Enquiry,1,9,Small Business,Female,3,3,Standard,4,Married,1,0,4,0,0,D-4,22655
200819,No,28,Self Enquiry,1,8,Salaried,Male,3,4,Basic,4,Divorced,1,0,2,0,2,D-2,18201
200827,No,28,Company Invited,1,12,Salaried,Male,2,4,Basic,3,Married,2,1,4,1,0,D-2,17703
200842,Yes,28,Self Enquiry,1,18,Salaried,Female,3,3,Basic,3,Divorced,2,1,4,1,0,D-2,17515
200868,No,28,Self Enquiry,1,25,Small Business,Male,3,4,Basic,5,Divorced,2,0,3,1,2,D-2,18196
200921,No,28,Company Invited,1,6,Small Business,Male,2,3,Basic,3,Single,1,1,4,0,0,D-2,17154
200933,No,28,Self Enquiry,1,6,Large Business,Male,2,3,Basic,5,Single,3,0,4,0,0,D-2,17080
200944,No,28,Company Invited,1,6,Salaried,Female,2,5,Deluxe,3,Divorced,1,0,3,1,0,D-3,21674
200984,No,28,Self Enquiry,3,10,Salaried,Male,2,4,Deluxe,5,Divorced,2,0,4,1,0,D-3,19724
200015,No,29,Self Enquiry,1,27,Salaried,Female,2,2,Standard,5,Married,2,0,5,1,1,D-4,24980
200057,No,29,Self Enquiry,1,29,Small Business,Female,1,3,Basic,5,Divorced,4,1,4,1,0,D-2,49707
200071,No,29,Self Enquiry,1,8,Salaried,Male,3,3,Basic,4,Divorced,1,0,4,0,0,D-2,17703
200155,No,29,Company Invited,1,6,Large Business,Male,2,3,Deluxe,3,Divorced,2,0,3,0,1,D-3,51527
200205,Yes,29,Self Enquiry,3,33,Small Business,Female,2,3,Standard,3,Divorced,2,0,3,1,1,D-4,22639
200217,Yes,29,Self Enquiry,1,6,Large Business,Male,2,3,Basic,3,Single,1,0,2,0,0,D-2,17058
200227,No,29,Company Invited,3,6,Small Business,Female,2,3,Standard,3,Divorced,2,0,3,1,0,D-4,22918
200229,Yes,29,Self Enquiry,1,24,Small Business,Male,2,4,Basic,3,Single,2,1,3,0,1,D-2,17389
200252,No,29,Self Enquiry,1,21,Salaried,Male,2,3,Basic,3,Single,2,0,3,0,0,D-2,17340
200254,No,29,Self Enquiry,3,26,Small Business,Male,2,3,Deluxe,3,Married,3,0,2,1,1,D-3,21931
200265,No,29,Self Enquiry,3,8,Small Business,Male,3,4,Deluxe,4,Divorced,3,0,4,0,1,D-3,21644
200282,No,29,Company Invited,3,7,Salaried,Male,2,3,Deluxe,3,Single,2,0,2,0,0,D-3,19554
200336,Yes,29,Self Enquiry,1,14,Salaried,Male,3,5,Basic,5,Divorced,2,1,3,1,1,D-2,17119
200343,No,29,Self Enquiry,3,16,Small Business,Female,2,4,Deluxe,4,Married,2,1,5,0,1,D-3,23268
200349,No,29,Company Invited,3,7,Salaried,Male,3,3,Deluxe,3,Divorced,2,0,2,1,1,D-3,19649
200371,No,29,Self Enquiry,1,29,Salaried,Male,2,3,Basic,3,Single,1,0,3,1,0,D-2,17201
200420,No,29,Self Enquiry,1,9,Small Business,Male,3,4,Standard,3,Divorced,2,0,2,1,2,D-4,26935
200421,Yes,29,Self Enquiry,1,31,Large Business,Female,3,4,Basic,4,Divorced,6,0,3,0,2,D-2,17546
200454,No,29,Self Enquiry,1,6,Large Business,Male,2,3,Deluxe,3,Married,5,0,5,0,0,D-3,79856
200507,No,29,Self Enquiry,3,9,Small Business,Female,3,3,Deluxe,3,Divorced,2,0,2,0,0,D-3,20561
200519,No,29,Company Invited,1,6,Salaried,Male,3,5,Basic,3,Married,2,0,2,1,0,D-2,17720
200546,No,29,Self Enquiry,3,16,Salaried,Male,2,3,Basic,3,Single,2,0,4,0,0,D-2,17642
200555,No,29,Self Enquiry,3,16,Small Business,Male,2,3,Basic,4,Married,2,0,2,0,1,D-2,17297
200572,No,29,Company Invited,1,5,Small Business,Female,3,3,Deluxe,3,Divorced,5,0,2,1,0,D-3,78698
200589,Yes,29,Self Enquiry,1,6,Salaried,Female,2,4,Basic,5,Divorced,2,1,2,0,0,D-2,17319
200594,No,29,Self Enquiry,1,29,Salaried,Male,2,1,Basic,3,Divorced,2,0,2,1,1,D-2,17700
200645,Yes,29,Self Enquiry,3,6,Small Business,Female,2,4,Basic,3,Married,7,1,2,0,1,D-2,17800
200657,No,29,Self Enquiry,1,13,Small Business,Female,3,4,Basic,3,Married,7,0,5,1,0,D-2,17532
200697,No,29,Company Invited,3,26,Large Business,Female,2,3,Basic,3,Divorced,2,0,3,0,1,D-2,17157
200711,Yes,29,Self Enquiry,1,16,Salaried,Female,3,4,Basic,5,Single,7,1,5,1,1,D-2,17404
200796,Yes,29,Self Enquiry,1,10,Large Business,Male,2,3,Basic,3,Divorced,2,1,3,1,0,D-2,18691
200808,No,29,Self Enquiry,1,34,Salaried,Female,3,3,Basic,3,Married,5,0,5,0,1,D-2,17514
200823,No,29,Company Invited,1,16,Salaried,Female,3,3,Basic,4,Married,1,0,5,1,0,D-2,18291
200825,No,29,Self Enquiry,1,14,Small Business,Male,3,4,Deluxe,3,Divorced,2,1,3,0,0,D-3,20056
200836,Yes,29,Self Enquiry,3,29,Salaried,Female,2,4,Standard,5,Divorced,2,0,3,0,0,D-4,22336
200852,No,29,Self Enquiry,1,12,Small Business,Female,2,3,Basic,3,Divorced,2,0,3,0,0,D-2,18131
200859,No,29,Self Enquiry,1,21,Salaried,Female,3,5,Basic,3,Divorced,1,1,5,1,0,D-2,17168
200903,No,29,Self Enquiry,1,13,Salaried,Male,2,3,Deluxe,3,Married,2,1,3,0,0,D-3,21623
200905,No,29,Self Enquiry,1,6,Salaried,Female,2,4,Super Deluxe,3,Married,4,0,2,0,1,D-1,31124
200932,Yes,29,Self Enquiry,1,13,Large Business,Female,2,3,Basic,3,Married,4,1,4,1,1,D-2,18339
200007,No,30,Self Enquiry,1,30,Salaried,Male,3,3,Basic,3,Married,2,0,2,0,1,D-2,17693
200032,No,30,Self Enquiry,1,15,Small Business,Male,2,4,Basic,3,Single,2,0,4,1,1,D-2,17206
200080,No,30,Self Enquiry,1,6,Salaried,Male,2,4,Deluxe,3,Divorced,2,1,2,1,1,D-3,20126
200092,No,30,Self Enquiry,3,10,Small Business,Female,3,4,Deluxe,4,Married,2,1,3,1,1,D-3,20209
200120,No,30,Company Invited,1,29,Salaried,Male,3,5,Basic,3,Married,2,0,3,1,2,D-2,17613
