ID,Airline,Date_of_Journey,Source,Destination,Route,Arrival_Time,Duration,Total_Stops,Additional_Info, Price_EUR 
14,British Airways,09-05-2019 21:10,Paris,London,CDG _ WAW _ LHR,10-05-2019 09:20,12h 10m,1 stop,In-flight meal not included, 106.3 
15,Ryanair,24-04-2019 17:15,Paris,London,CDG _ LHR,24-04-2019 19:50,2h 35m,non-stop,No info, 52.8 
16,Lufthansa,03-03-2019 16:40,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,04-03-2019 19:15,26h 35m,2 stops,No info, 154.1 
17,easyJet,15-04-2019 08:45,Frankfurt,Rome,FRA _ BER _ FCO,15-04-2019 13:15,4h 30m,1 stop,No info, 64.1 
18,British Airways,12-06-2019 14:00,Frankfurt,Rome,FRA _ BER _ FCO,13-06-2019 12:35,22h 35m,1 stop,In-flight meal not included, 112.9 
19,Lufthansa,12-06-2019 20:15,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,13-06-2019 19:15,23h 00m,2 stops,No info, 147.2 
20,British Airways,27-05-2019 16:00,Frankfurt,Rome,FRA _ BER _ FCO,28-05-2019 12:35,20h 35m,1 stop,In-flight meal not included, 141.9 
21,Wizz Air,06-03-2019 14:10,Frankfurt,Rome,FRA _ BER _ FCO,06-03-2019 19:20,5h 10m,1 stop,No info, 214.4 
22,Lufthansa,21-03-2019 22:00,London,Frankfurt,LHR _ MXP _ FRA,22-03-2019 13:20,15h 20m,1 stop,No info, 76.5 
23,Ryanair,03-04-2019 04:00,London,Frankfurt,LHR _ FRA,03-04-2019 06:50,2h 50m,non-stop,No info, 43.4 
24,Ryanair,01-05-2019 18:55,London,Frankfurt,LHR _ FRA,01-05-2019 21:50,2h 55m,non-stop,No info, 53.1 
25,British Airways,06-05-2019 18:55,Paris,London,CDG _ WAW _ LHR,07-05-2019 08:15,13h 20m,1 stop,In-flight meal not included, 85.3 
26,British Airways,09-06-2019 21:25,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,10-06-2019 12:35,15h 10m,2 stops,No info, 146.2 
27,Ryanair,01-06-2019 21:50,Frankfurt,Rome,FRA _ BER _ FCO,02-06-2019 03:35,5h 45m,1 stop,No info, 90.6 
28,Wizz Air,15-05-2019 07:00,Frankfurt,Rome,FRA _ BER _ FCO,15-05-2019 12:55,5h 55m,1 stop,No info, 84.5 
29,Air France,18-06-2019 09:45,London,Frankfurt,LHR _ FRA,18-06-2019 12:35,2h 50m,non-stop,No info, 51.4 
30,Air France,15-06-2019 07:05,Madrid,Paris,MAD _ CDG,15-06-2019 09:20,2h 15m,non-stop,No info, 40.6 
31,Air France,18-06-2019 07:05,Madrid,Paris,MAD _ CDG,18-06-2019 09:20,2h 15m,non-stop,No info, 40.6 
32,Lufthansa,01-05-2019 09:50,Paris,London,CDG _ BRU _ MUC _ LHR,01-05-2019 23:15,13h 25m,2 stops,No info, 145.5 
33,Ryanair,06-04-2019 04:00,London,Frankfurt,LHR _ FRA,06-04-2019 06:50,2h 50m,non-stop,No info, 48.7 
34,British Airways,15-06-2019 14:35,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,16-06-2019 12:35,22h 00m,2 stops,In-flight meal not included, 120.1 
35,British Airways,18-05-2019 07:05,Frankfurt,Rome,FRA _ BER _ FCO,18-05-2019 12:35,5h 30m,1 stop,In-flight meal not included, 136.1 
36,Ryanair,27-06-2019 10:35,Frankfurt,Rome,FRA _ BER _ FCO,27-06-2019 21:00,10h 25m,1 stop,No info, 64.8 
37,easyJet,21-05-2019 15:05,Paris,London,CDG _ WAW _ LHR,21-05-2019 20:20,5h 15m,1 stop,No info, 51.1 
38,Lufthansa,18-05-2019 14:15,Paris,London,CDG _ LHR,18-05-2019 16:45,2h 30m,non-stop,No info, 68.7 
39,British Airways,06-03-2019 07:00,London,Frankfurt,LHR _ MXP _ FRA,06-03-2019 13:15,6h 15m,1 stop,No info, 211.5 
40,British Airways,03-06-2019 07:05,Frankfurt,Rome,FRA _ BER _ FCO,03-06-2019 19:00,11h 55m,1 stop,No info, 164.2 
41,Multiple carriers,21-05-2019 07:05,Frankfurt,Rome,FRA _ BER _ FCO,21-05-2019 18:10,11h 5m,1 stop,No info, 106.1 
42,Lufthansa,15-03-2019 06:45,London,Frankfurt,LHR _ MXP _ FRA,15-03-2019 15:15,8h 30m,1 stop,No info, 95.9 
43,British Airways,18-05-2019 20:55,Frankfurt,Rome,FRA _ BER _ FCO,19-05-2019 19:00,22h 5m,1 stop,In-flight meal not included, 136.1 
44,Eurowings,06-05-2019 11:10,London,Frankfurt,LHR _ FRA,06-05-2019 13:55,2h 45m,non-stop,No info, 37.2 
45,Multiple carriers,21-03-2019 09:00,Frankfurt,Rome,FRA _ BER _ FCO,21-03-2019 21:00,12h 00m,1 stop,No info, 143.7 
46,easyJet,24-03-2019 05:45,London,Frankfurt,LHR _ FRA,24-03-2019 08:35,2h 50m,non-stop,No check-in baggage included, 38.8 
47,Ryanair,27-05-2019 04:00,London,Frankfurt,LHR _ FRA,27-05-2019 06:50,2h 50m,non-stop,No info, 43.4 
48,Lufthansa,03-05-2019 11:40,Madrid,Paris,MAD _ CDG,03-05-2019 13:55,2h 15m,non-stop,No info, 51.3 
49,Lufthansa,15-05-2019 19:00,Paris,London,CDG _ WAW _ LHR,16-05-2019 11:05,16h 5m,1 stop,No info, 67.3 
50,British Airways,27-06-2019 23:05,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,28-06-2019 19:00,19h 55m,2 stops,In-flight meal not included, 122.7 
51,British Airways,09-03-2019 11:00,Frankfurt,Rome,FRA _ FCO,09-03-2019 14:15,3h 15m,non-stop,In-flight meal not included, 79.2 
52,British Airways,01-05-2019 09:35,Paris,London,CDG _ WAW _ LHR,02-05-2019 10:55,25h 20m,1 stop,No info, 133.3 
53,Ryanair,24-03-2019 22:20,London,Frankfurt,LHR _ FRA,28-03-2019 01:10,2h 50m,non-stop,No info, 48.2 
54,Ryanair,18-06-2019 21:15,London,Frankfurt,LHR _ FRA,19-06-2019 00:15,3h 00m,non-stop,No info, 43.4 
55,Eurowings,03-04-2019 23:55,London,Frankfurt,LHR _ FRA,04-04-2019 02:45,2h 50m,non-stop,No info, 49.3 
56,British Airways,24-03-2019 19:45,Paris,London,CDG _ WAW _ LHR,25-03-2019 12:00,16h 15m,1 stop,No info, 156.5 
57,Lufthansa,01-03-2019 08:50,London,Frankfurt,LHR _ BRU _ MUC _ FRA,01-03-2019 23:55,15h 5m,2 stops,No info, 190.8 
58,Air France,06-03-2019 07:05,Madrid,Paris,MAD _ CDG,06-03-2019 09:20,2h 15m,non-stop,No info, 81.6 
59,Multiple carriers,06-05-2019 19:00,Frankfurt,Rome,FRA _ BER _ FCO,07-05-2019 01:30,6h 30m,1 stop,No info, 88.8 
60,Air France,06-03-2019 15:40,Zurich,Amsterdam,ZRH _ GVA _ AMS,07-03-2019 16:45,25h 5m,1 stop,No info, 136.3 
61,Lufthansa,06-06-2019 09:25,Paris,London,CDG _ WAW _ LHR,06-06-2019 21:50,12h 25m,1 stop,No info, 92.0 
62,Lufthansa,03-04-2019 06:05,Frankfurt,Rome,FRA _ BER _ FCO,04-04-2019 09:25,27h 20m,1 stop,No info, 56.3 
63,Multiple carriers,03-06-2019 08:45,Frankfurt,Rome,FRA _ BER _ FCO,03-06-2019 19:00,10h 15m,1 stop,No info, 137.8 
64,Ryanair,15-05-2019 15:00,Frankfurt,Rome,FRA _ BER _ FCO,16-05-2019 01:30,10h 30m,1 stop,No info, 79.1 
65,Air France,24-05-2019 07:05,Madrid,Paris,MAD _ CDG,24-05-2019 09:20,2h 15m,non-stop,No info, 40.6 
66,Ryanair,24-06-2019 10:35,Frankfurt,Rome,FRA _ BER _ FCO,24-06-2019 21:00,10h 25m,1 stop,No info, 64.8 
67,Air France,24-04-2019 09:45,London,Frankfurt,LHR _ FRA,24-04-2019 12:35,2h 50m,non-stop,No info, 59.4 
68,Lufthansa,06-05-2019 13:55,Zurich,Amsterdam,ZRH _ AMS,06-05-2019 15:25,1h 30m,non-stop,No info, 39.9 
69,Lufthansa,21-05-2019 05:55,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,21-05-2019 19:15,13h 20m,2 stops,No info, 119.5 
70,Ryanair,12-03-2019 13:20,Madrid,Paris,MAD _ CDG,12-03-2019 15:35,2h 15m,non-stop,No info, 69.3 
71,British Airways,01-06-2019 07:05,Zurich,Amsterdam,ZRH _ AMS,01-06-2019 08:30,1h 25m,non-stop,No info, 62.5 
72,British Airways,09-03-2019 05:45,London,Frankfurt,LHR _ MXP _ FRA,13-03-2019 08:15,26h 30m,1 stop,In-flight meal not included, 100.5 
73,Multiple carriers,24-06-2019 11:40,Frankfurt,Rome,FRA _ BER _ FCO,24-06-2019 19:00,7h 20m,1 stop,In-flight meal not included, 118.7 
74,British Airways,24-06-2019 23:05,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,25-06-2019 12:35,13h 30m,2 stops,No info, 141.0 
75,Ryanair,21-03-2019 05:05,Frankfurt,Rome,FRA _ BER _ FCO,21-03-2019 10:05,5h 00m,1 stop,No info, 75.8 
76,Air France,09-03-2019 09:50,London,Frankfurt,LHR _ FRA,09-03-2019 12:35,2h 45m,non-stop,No info, 79.6 
77,Wizz Air,03-04-2019 11:40,London,Frankfurt,LHR _ FRA,03-04-2019 14:30,2h 50m,non-stop,No info, 42.9 
78,Ryanair,03-04-2019 06:25,Zurich,Amsterdam,ZRH _ AMS,03-04-2019 07:55,1h 30m,non-stop,No info, 44.5 
79,British Airways,15-06-2019 17:30,Frankfurt,Rome,FRA _ BER _ FCO,16-06-2019 12:35,19h 5m,1 stop,In-flight meal not included, 112.9 
80,easyJet,21-03-2019 08:20,Madrid,Paris,MAD _ CDG,21-03-2019 10:35,2h 15m,non-stop,No check-in baggage included, 36.7 
81,British Airways,09-06-2019 21:10,Paris,London,CDG _ WAW _ LHR,10-06-2019 12:00,14h 50m,1 stop,In-flight meal not included, 119.3 
82,British Airways,24-03-2019 19:55,London,Frankfurt,LHR _ FRA,24-03-2019 22:35,2h 40m,non-stop,No info, 79.5 
83,British Airways,06-05-2019 06:30,Paris,London,CDG _ WAW _ LHR,07-05-2019 04:40,22h 10m,1 stop,No info, 153.4 
84,Ryanair,27-06-2019 11:25,Frankfurt,Rome,FRA _ BER _ FCO,27-06-2019 21:00,9h 35m,1 stop,No info, 64.8 
85,Multiple carriers,18-05-2019 09:00,Frankfurt,Rome,FRA _ BER _ FCO,18-05-2019 19:00,10h 00m,1 stop,No info, 112.2 
86,British Airways,06-03-2019 14:05,London,Frankfurt,LHR _ MXP _ FRA,07-03-2019 11:25,21h 20m,1 stop,In-flight meal not included, 150.8 
87,Ryanair,24-06-2019 02:00,Frankfurt,Rome,FRA _ BER _ FCO,24-06-2019 07:25,5h 25m,1 stop,No info, 62.0 
88,British Airways,06-06-2019 09:40,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,07-06-2019 04:25,18h 45m,2 stops,No info, 143.2 
89,British Airways,01-04-2019 08:25,Paris,London,CDG _ WAW _ LHR,01-04-2019 20:45,12h 20m,1 stop,In-flight meal not included, 77.7 
90,British Airways,24-05-2019 20:25,Paris,London,CDG _ WAW _ LHR,25-05-2019 14:25,18h 00m,1 stop,In-flight meal not included, 117.7 
91,Multiple carriers,27-05-2019 13:15,Frankfurt,Rome,FRA _ BER _ FCO,27-05-2019 22:30,9h 15m,1 stop,No info, 106.1 
92,Multiple carriers,06-03-2019 02:15,Frankfurt,Rome,FRA _ BER _ FCO,06-03-2019 13:20,11h 5m,1 stop,No info, 187.6 
93,British Airways,12-03-2019 16:55,London,Frankfurt,LHR _ MXP _ FRA,13-03-2019 10:25,17h 30m,1 stop,No info, 152.0 
94,Lufthansa,06-03-2019 05:55,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,06-03-2019 19:15,13h 20m,2 stops,No info, 151.2 
95,Lufthansa,21-04-2019 20:45,Paris,London,CDG _ LHR,21-04-2019 23:20,2h 35m,non-stop,No info, 53.7 
96,Ryanair,21-06-2019 05:15,Madrid,Paris,MAD _ CDG,21-06-2019 07:40,2h 25m,non-stop,No info, 38.9 
97,easyJet,15-05-2019 05:55,London,Frankfurt,LHR _ FRA,15-05-2019 08:35,2h 40m,non-stop,No check-in baggage included, 35.8 
98,British Airways,03-06-2019 19:50,London,Frankfurt,LHR _ FRA,03-06-2019 22:50,3h 00m,non-stop,In-flight meal not included, 71.3 
99,British Airways,18-06-2019 07:05,Zurich,Amsterdam,ZRH _ AMS,18-06-2019 08:30,1h 25m,non-stop,No info, 88.4 
100,British Airways,12-06-2019 20:00,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,13-06-2019 12:35,16h 35m,2 stops,No info, 157.3 
101,British Airways,15-05-2019 08:25,Paris,London,CDG _ WAW _ LHR,15-05-2019 20:45,12h 20m,1 stop,No info, 162.6 
102,British Airways,09-06-2019 20:00,Paris,London,CDG _ WAW _ LHR,10-06-2019 08:15,12h 15m,1 stop,No info, 164.3 
103,British Airways,24-06-2019 20:55,Frankfurt,Rome,FRA _ BER _ FCO,25-06-2019 04:25,7h 30m,1 stop,In-flight meal not included, 112.9 
104,Lufthansa,12-05-2019 14:35,Paris,London,CDG _ WAW _ LHR,13-05-2019 14:35,24h 00m,1 stop,No info, 71.8 
105,Lufthansa,01-05-2019 06:10,London,Frankfurt,LHR _ FRA,01-05-2019 08:55,2h 45m,non-stop,No info, 67.3 
106,British Airways,18-05-2019 19:30,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,19-05-2019 04:25,8h 55m,2 stops,In-flight meal not included, 143.3 
107,Multiple carriers,27-03-2019 11:40,Frankfurt,Rome,FRA _ BER _ FCO,27-03-2019 18:50,7h 10m,1 stop,No info, 125.6 
108,Multiple carriers,27-03-2019 04:45,Frankfurt,Rome,FRA _ BER _ FCO,27-03-2019 19:15,14h 30m,1 stop,No info, 83.3 
109,Lufthansa,09-05-2019 12:55,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,10-05-2019 19:15,30h 20m,2 stops,No info, 127.6 
110,British Airways,24-05-2019 23:05,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,25-05-2019 19:00,19h 55m,2 stops,No info, 166.4 
111,British Airways,18-03-2019 14:05,London,Frankfurt,LHR _ MXP _ FRA,19-03-2019 05:05,15h 00m,1 stop,No info, 149.1 
112,Ryanair,12-04-2019 18:55,London,Frankfurt,LHR _ FRA,12-04-2019 21:50,2h 55m,non-stop,No info, 63.6 
113,Air France,12-05-2019 20:20,Paris,London,CDG _ WAW _ LHR,13-05-2019 09:05,12h 45m,1 stop,No info, 103.4 
114,British Airways,06-03-2019 18:15,Frankfurt,Rome,FRA _ BER _ FCO,07-03-2019 04:25,10h 10m,1 stop,No info, 187.3 
115,Wizz Air,27-06-2019 07:00,Frankfurt,Rome,FRA _ BER _ FCO,27-06-2019 12:55,5h 55m,1 stop,No info, 58.1 
116,Multiple carriers,18-05-2019 07:05,Frankfurt,Rome,FRA _ BER _ FCO,18-05-2019 22:30,15h 25m,1 stop,No info, 113.8 
117,Lufthansa,06-03-2019 17:20,Frankfurt,Rome,FRA _ BER _ FCO,07-03-2019 09:25,16h 5m,1 stop,No info, 139.5 
118,Multiple carriers,03-03-2019 15:25,Frankfurt,Rome,FRA _ BER _ FCO,04-03-2019 01:35,10h 10m,1 stop,No info, 166.6 
119,Air France,12-06-2019 07:00,London,Frankfurt,LHR _ FRA,12-06-2019 09:40,2h 40m,non-stop,No info, 51.4 
120,British Airways,09-05-2019 07:05,Frankfurt,Rome,FRA _ BER _ FCO,09-05-2019 19:00,11h 55m,1 stop,No info, 171.1 
121,easyJet,09-04-2019 05:55,London,Frankfurt,LHR _ FRA,09-04-2019 08:35,2h 40m,non-stop,No info, 43.7 
122,Lufthansa,03-05-2019 15:00,Zurich,Amsterdam,ZRH _ AMS,03-05-2019 16:25,1h 25m,non-stop,No info, 34.1 
123,British Airways,06-05-2019 20:00,Paris,London,CDG _ WAW _ LHR,07-05-2019 10:05,14h 5m,1 stop,In-flight meal not included, 106.3 
124,Lufthansa,01-03-2019 23:00,Frankfurt,Rome,FRA _ BER _ FCO,02-03-2019 19:15,20h 15m,1 stop,No info, 301.7 
125,Ryanair,12-05-2019 05:15,Madrid,Paris,MAD _ CDG,12-05-2019 07:40,2h 25m,non-stop,No info, 38.9 
126,Lufthansa,21-05-2019 12:00,Paris,London,CDG _ BRU _ MUC _ LHR,22-05-2019 11:10,23h 10m,2 stops,No info, 117.4 
127,British Airways,12-06-2019 14:05,Paris,London,CDG _ WAW _ LHR,13-06-2019 08:15,18h 10m,1 stop,No info, 143.5 
128,British Airways,06-05-2019 20:00,Paris,London,CDG _ WAW _ LHR,07-05-2019 12:00,16h 00m,1 stop,No info, 158.3 
129,Ryanair,24-06-2019 04:00,London,Frankfurt,LHR _ FRA,24-06-2019 06:50,2h 50m,non-stop,No info, 43.4 
130,Ryanair,03-06-2019 14:45,Madrid,Paris,MAD _ CDG,03-06-2019 17:05,2h 20m,non-stop,No info, 39.6 
131,Lufthansa,21-03-2019 11:50,London,Frankfurt,LHR _ MXP _ FRA,21-03-2019 19:50,8h 00m,1 stop,No info, 65.3 
132,British Airways,15-06-2019 11:30,Frankfurt,Rome,FRA _ BER _ FCO,16-06-2019 04:25,16h 55m,1 stop,In-flight meal not included, 112.9 
133,Air France,12-05-2019 14:40,Frankfurt,Rome,FRA _ FCO,12-05-2019 17:50,3h 10m,non-stop,No info, 68.4 
134,Ryanair,15-06-2019 20:25,Paris,London,CDG _ LHR,15-06-2019 23:10,2h 45m,non-stop,No info, 52.8 
135,Multiple carriers,21-05-2019 11:30,Frankfurt,Rome,FRA _ BER _ FCO,22-05-2019 01:30,14h 00m,1 stop,No info, 154.7 
136,British Airways,18-05-2019 19:10,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,19-05-2019 19:00,23h 50m,2 stops,No info, 166.4 
137,British Airways,06-06-2019 06:45,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,07-06-2019 04:25,21h 40m,2 stops,No info, 147.1 
138,Lufthansa,27-06-2019 22:00,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,28-06-2019 19:15,21h 15m,2 stops,No info, 114.9 
139,British Airways,24-05-2019 06:00,London,Frankfurt,LHR _ FRA,24-05-2019 08:45,2h 45m,non-stop,In-flight meal not included, 44.3 
140,British Airways,03-03-2019 08:00,Frankfurt,Rome,FRA _ BER _ FCO,03-03-2019 18:50,10h 50m,1 stop,No info, 187.3 
141,Multiple carriers,09-04-2019 17:30,Frankfurt,Rome,FRA _ BER _ FCO,10-04-2019 01:30,8h 00m,1 stop,No info, 143.2 
142,Wizz Air,06-06-2019 23:30,Paris,London,CDG _ WAW _ LHR,07-06-2019 07:45,8h 15m,1 stop,No info, 73.6 
143,Ryanair,15-06-2019 02:00,Frankfurt,Rome,FRA _ BER _ FCO,15-06-2019 07:25,5h 25m,1 stop,No info, 62.0 
144,Ryanair,09-06-2019 07:35,Frankfurt,Rome,FRA _ BER _ FCO,09-06-2019 16:10,8h 35m,1 stop,No info, 70.9 
145,Multiple carriers,21-05-2019 13:05,Frankfurt,Rome,FRA _ BER _ FCO,22-05-2019 00:55,11h 50m,1 stop,No info, 104.4 
146,British Airways,21-05-2019 20:00,Paris,London,CDG _ WAW _ LHR,22-05-2019 23:35,27h 35m,1 stop,In-flight meal not included, 119.3 
147,British Airways,03-06-2019 20:00,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,04-06-2019 04:25,8h 25m,2 stops,In-flight meal not included, 168.5 
148,Lufthansa,03-04-2019 12:30,Frankfurt,Rome,FRA _ BER _ FCO,04-04-2019 09:25,20h 55m,1 stop,No info, 56.3 
149,Ryanair,24-06-2019 15:10,Frankfurt,Rome,FRA _ BER _ FCO,24-06-2019 20:00,4h 50m,1 stop,No info, 67.6 
150,Multiple carriers,09-06-2019 12:50,Frankfurt,Rome,FRA _ BER _ FCO,09-06-2019 21:00,8h 10m,1 stop,No info, 77.1 
151,easyJet,03-04-2019 22:20,Paris,London,CDG _ LHR,04-04-2019 00:40,2h 20m,non-stop,No info, 42.6 
152,British Airways,21-03-2019 18:25,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,22-03-2019 18:50,24h 25m,2 stops,In-flight meal not included, 102.0 
153,Wizz Air,27-06-2019 11:40,London,Frankfurt,LHR _ FRA,27-06-2019 14:30,2h 50m,non-stop,No info, 42.9 
154,British Airways,12-05-2019 08:25,Paris,London,CDG _ WAW _ LHR,12-05-2019 20:45,12h 20m,1 stop,No info, 162.6 
155,British Airways,24-05-2019 20:00,Paris,London,CDG _ WAW _ LHR,25-05-2019 08:15,12h 15m,1 stop,In-flight meal not included, 94.5 
156,Lufthansa,09-05-2019 08:20,Paris,London,CDG _ BRU _ MUC _ LHR,10-05-2019 07:55,23h 35m,2 stops,No info, 117.7 
157,British Airways,27-06-2019 20:00,Frankfurt,Rome,FRA _ CPH _ WAW _ FCO,28-06-2019 12:35,16h 35m,2 stops,No info, 157.3 
158,Ryanair,03-03-2019 18:55,London,Frankfurt,LHR _ FRA,03-03-2019 21:45,2h 50m,non-stop,No info, 97.4 
159,British Airways,12-05-2019 16:30,Paris,London,CDG _ WAW _ LHR,13-05-2019 18:15,25h 45m,1 stop,In-flight meal not included, 119.3 
160,British Airways,06-03-2019 02:15,Frankfurt,Rome,FRA _ BER _ FCO,07-03-2019 04:25,26h 10m,1 stop,No info, 187.3 
161,British Airways,01-05-2019 09:35,Paris,London,CDG _ WAW _ LHR,02-05-2019 14:25,28h 50m,1 stop,In-flight meal not included, 102.5 
162,Ryanair,24-03-2019 00:40,London,Frankfurt,LHR _ FRA,24-03-2019 03:25,2h 45m,non-stop,No info, 52.6 
163,Lufthansa,09-06-2019 12:00,Paris,London,CDG _ WAW _ LHR,10-06-2019 13:15,25h 15m,1 stop,No info, 84.3 
164,Ryanair,09-05-2019 06:50,Frankfurt,Rome,FRA _ BER _ FCO,09-05-2019 16:10,9h 20m,1 stop,No info, 70.9 
165,easyJet,12-06-2019 08:45,Frankfurt,Rome,FRA _ BER _ FCO,12-06-2019 13:15,4h 30m,1 stop,No info, 57.9 
166,British Airways,27-05-2019 13:00,Frankfurt,Rome,FRA _ BER _ FCO,28-05-2019 04:25,15h 25m,1 stop,In-flight meal not included, 141.9 
167,Lufthansa,03-03-2019 13:55,Zurich,Amsterdam,ZRH _ AMS,03-03-2019 15:25,1h 30m,non-stop,No info, 67.0 
168,easyJet,21-05-2019 05:55,London,Frankfurt,LHR _ FRA,21-05-2019 08:35,2h 40m,non-stop,No info, 36.4 
169,British Airways,27-03-2019 19:15,Frankfurt,Rome,FRA _ BER _ FCO,28-03-2019 04:25,9h 10m,1 stop,In-flight meal not included, 71.9 
170,Ryanair,27-05-2019 01:30,London,Frankfurt,LHR _ FRA,27-05-2019 04:15,2h 45m,non-stop,No info, 37.6 
171,British Airways,03-04-2019 14:00,Frankfurt,Rome,FRA _ BER _ FCO,04-04-2019 12:35,22h 35m,1 stop,In-flight meal not included, 57.0 
172,Lufthansa,18-04-2019 18:05,Frankfurt,Rome,FRA _ FCO,18-04-2019 21:10,3h 5m,non-stop,No info, 90.7 
173,British Airways,09-06-2019 09:35,Paris,London,CDG _ WAW _ LHR,09-06-2019 21:05,11h 30m,1 stop,No info, 161.4 
174,Multiple carriers,27-06-2019 11:30,Frankfurt,Rome,FRA _ BER _ FCO,27-06-2019 21:00,9h 30m,1 stop,No info, 149.5 
175,British Airways,06-05-2019 21:10,Paris,London,CDG _ WAW _ LHR,07-05-2019 09:20,12h 10m,1 stop,In-flight meal not included, 106.3 
176,British Airways,12-06-2019 16:30,Paris,London,CDG _ WAW _ LHR,13-06-2019 10:05,17h 35m,1 stop,No info, 143.5 
177,Ryanair,03-04-2019 20:25,Frankfurt,Rome,FRA _ BER _ FCO,04-04-2019 01:30,5h 5m,1 stop,No info, 55.8 
178,Air France,21-05-2019 17:00,Paris,London,CDG _ WAW _ LHR,22-05-2019 18:50,25h 50m,1 stop,No info, 102.8 
179,British Airways,06-05-2019 14:05,Paris,London,CDG _ WAW _ LHR,07-05-2019 10:05,20h 00m,1 stop,In-flight meal not included, 106.3 
180,Multiple carriers,21-05-2019 08:00,Frankfurt,Rome,FRA _ BER _ FCO,21-05-2019 21:00,13h 00m,1 stop,No info, 157.1 
181,British Airways,01-06-2019 10:00,Frankfurt,Rome,FRA _ BER _ FCO,02-06-2019 04:25,18h 25m,1 stop,In-flight meal not included, 112.9 
182,British Airways,27-03-2019 19:35,Zurich,Amsterdam,ZRH _ AMS,27-03-2019 21:05,1h 30m,non-stop,No info, 62.5 
183,Multiple carriers,15-05-2019 16:00,Frankfurt,Rome,FRA _ BER _ FCO,16-05-2019 01:30,9h 30m,1 stop,No info, 151.0 
184,British Airways,06-05-2019 20:00,Paris,London,CDG _ WAW _ LHR,07-05-2019 12:00,16h 00m,1 stop,In-flight meal not included, 106.3 
185,Ryanair,12-05-2019 14:45,Madrid,Paris,MAD _ CDG,12-05-2019 17:05,2h 20m,non-stop,No info, 42.4 
186,easyJet,24-06-2019 08:45,Frankfurt,Rome,FRA _ BER _ FCO,24-06-2019 13:15,4h 30m,1 stop,No info, 52.9 
187,Ryanair,27-06-2019 21:50,Frankfurt,Rome,FRA _ BER _ FCO,28-06-2019 03:35,5h 45m,1 stop,No info, 63.5 
188,British Airways,06-06-2019 09:35,Paris,London,CDG _ WAW _ LHR,07-06-2019 09:45,24h 10m,1 stop,In-flight meal not included, 115.9 
189,Ryanair,03-06-2019 15:30,Paris,London,CDG _ LHR,03-06-2019 18:05,2h 35m,non-stop,No info, 52.8 
